References,Qty,Description,Part Number,Manufacturer,Mouser,Digikey
R1,1,22K 1206,RC1206FR-0722KL,Yageo,603-RC1206FR-0722KL,311-22.0KFRCT-ND
R2,1,22K 1206,RC1206FR-0722KL,Yageo,603-RC1206FR-0722KL,311-22.0KFRCT-ND
R6,1,1k 1206,,,,
R7,1,330 1206,,,,
C1,1,100nF 1206,C1206C104K5RACTU,KEMET,80-C1206C104K5R,399-1249-2-ND
C2,1,100nF 1206,C1206C104K5RACTU,KEMET,80-C1206C104K5R,399-1249-2-ND
C3,1,100nF 1206,C1206C104K5RACTU,KEMET,80-C1206C104K5R,399-1249-2-ND
U1,1,8Pin-DIL-Socket,DILB8P-223TLF,Amphenol FCI,649-DILB8P223TLF,609-4717-ND
IC1,1,Attiny85 DIL-Package,ATtiny85-20PU,Microchip Technology / Atmel,556-ATTINY85-20PU,
NEO1,1,SK6813b NEO-Pixel,,,,
NEO2,1,SK6813b NEO-Pixel,,,,
,,,,,,
External components,,,,,,
R3,1,22K 1206,RC1206FR-0722KL,Yageo,603-RC1206FR-0722KL,311-22.0KFRCT-ND
R4,1,22K 1206,RC1206FR-0722KL,Yageo,603-RC1206FR-0722KL,311-22.0KFRCT-ND
R5,1,4K7 1206,,,,
SW1,1,Push Switch,,,,
Push1,1,Tactile Button,,,,
Jack1,1,AUDIO-JACK,,,,
Jack2,1,AUDIO-JACK,,,,
Pot1,1,Potentiomenter 10k,,,,
Trim1,1,TrimPot 10k,,,,
D1,1,LED 2835,,,,
